"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Statistical Area 2","337800","Allenton East","Total stated","Total stated","2121","100.0"
2018,"Statistical Area 2","337900","Tinwald North","1","Maori descent","120"," 10.1"
2018,"Statistical Area 2","337900","Tinwald North","2","No Maori descent","1035"," 87.3"
2018,"Statistical Area 2","337900","Tinwald North","4","Don't know","30","  2.5"
2018,"Statistical Area 2","337900","Tinwald North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","337900","Tinwald North","9","Not stated","0",".."
2018,"Statistical Area 2","337900","Tinwald North","Total","Total","1185",".."
2018,"Statistical Area 2","337900","Tinwald North","Total stated","Total stated","1185","100.0"
2018,"Statistical Area 2","338000","Ashburton Central","1","Maori descent","12","  8.5"
2018,"Statistical Area 2","338000","Ashburton Central","2","No Maori descent","129"," 91.5"
2018,"Statistical Area 2","338000","Ashburton Central","4","Don't know","3","  2.1"
2018,"Statistical Area 2","338000","Ashburton Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338000","Ashburton Central","9","Not stated","0",".."
2018,"Statistical Area 2","338000","Ashburton Central","Total","Total","141",".."
2018,"Statistical Area 2","338000","Ashburton Central","Total stated","Total stated","141","100.0"
2018,"Statistical Area 2","338100","Ashburton West","1","Maori descent","69","  7.2"
2018,"Statistical Area 2","338100","Ashburton West","2","No Maori descent","870"," 90.9"
2018,"Statistical Area 2","338100","Ashburton West","4","Don't know","15","  1.6"
2018,"Statistical Area 2","338100","Ashburton West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338100","Ashburton West","9","Not stated","0",".."
2018,"Statistical Area 2","338100","Ashburton West","Total","Total","957",".."
2018,"Statistical Area 2","338100","Ashburton West","Total stated","Total stated","957","100.0"
2018,"Statistical Area 2","338200","Tinwald South","1","Maori descent","261"," 11.0"
2018,"Statistical Area 2","338200","Tinwald South","2","No Maori descent","2064"," 87.0"
2018,"Statistical Area 2","338200","Tinwald South","4","Don't know","48","  2.0"
2018,"Statistical Area 2","338200","Tinwald South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338200","Tinwald South","9","Not stated","0",".."
2018,"Statistical Area 2","338200","Tinwald South","Total","Total","2373",".."
2018,"Statistical Area 2","338200","Tinwald South","Total stated","Total stated","2373","100.0"
2018,"Statistical Area 2","338300","Ashburton East","1","Maori descent","168","  9.6"
2018,"Statistical Area 2","338300","Ashburton East","2","No Maori descent","1515"," 86.6"
2018,"Statistical Area 2","338300","Ashburton East","4","Don't know","66","  3.8"
2018,"Statistical Area 2","338300","Ashburton East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338300","Ashburton East","9","Not stated","0",".."
2018,"Statistical Area 2","338300","Ashburton East","Total","Total","1749",".."
2018,"Statistical Area 2","338300","Ashburton East","Total stated","Total stated","1749","100.0"
2018,"Statistical Area 2","338400","Netherby","1","Maori descent","315"," 14.8"
2018,"Statistical Area 2","338400","Netherby","2","No Maori descent","1767"," 83.0"
2018,"Statistical Area 2","338400","Netherby","4","Don't know","48","  2.3"
2018,"Statistical Area 2","338400","Netherby","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338400","Netherby","9","Not stated","0",".."
2018,"Statistical Area 2","338400","Netherby","Total","Total","2130",".."
2018,"Statistical Area 2","338400","Netherby","Total stated","Total stated","2130","100.0"
2018,"Statistical Area 2","338500","Hampstead","1","Maori descent","423"," 14.5"
2018,"Statistical Area 2","338500","Hampstead","2","No Maori descent","2397"," 82.4"
2018,"Statistical Area 2","338500","Hampstead","4","Don't know","96","  3.3"
2018,"Statistical Area 2","338500","Hampstead","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338500","Hampstead","9","Not stated","0",".."
2018,"Statistical Area 2","338500","Hampstead","Total","Total","2910",".."
2018,"Statistical Area 2","338500","Hampstead","Total stated","Total stated","2910","100.0"
2018,"Statistical Area 2","338600","Ben McLeod","1","Maori descent","9","  6.8"
2018,"Statistical Area 2","338600","Ben McLeod","2","No Maori descent","120"," 90.9"
2018,"Statistical Area 2","338600","Ben McLeod","4","Don't know","3","  2.3"
2018,"Statistical Area 2","338600","Ben McLeod","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338600","Ben McLeod","9","Not stated","0",".."
2018,"Statistical Area 2","338600","Ben McLeod","Total","Total","132",".."
2018,"Statistical Area 2","338600","Ben McLeod","Total stated","Total stated","132","100.0"
2018,"Statistical Area 2","338700","Arundel","1","Maori descent","60","  4.4"
2018,"Statistical Area 2","338700","Arundel","2","No Maori descent","1275"," 93.2"
2018,"Statistical Area 2","338700","Arundel","4","Don't know","30","  2.2"
2018,"Statistical Area 2","338700","Arundel","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338700","Arundel","9","Not stated","0",".."
2018,"Statistical Area 2","338700","Arundel","Total","Total","1368",".."
2018,"Statistical Area 2","338700","Arundel","Total stated","Total stated","1368","100.0"
2018,"Statistical Area 2","338800","Levels Valley","1","Maori descent","90","  8.6"
2018,"Statistical Area 2","338800","Levels Valley","2","No Maori descent","930"," 89.1"
2018,"Statistical Area 2","338800","Levels Valley","4","Don't know","24","  2.3"
2018,"Statistical Area 2","338800","Levels Valley","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338800","Levels Valley","9","Not stated","0",".."
2018,"Statistical Area 2","338800","Levels Valley","Total","Total","1044",".."
2018,"Statistical Area 2","338800","Levels Valley","Total stated","Total stated","1044","100.0"
2018,"Statistical Area 2","338900","Geraldine","1","Maori descent","240","  8.9"
2018,"Statistical Area 2","338900","Geraldine","2","No Maori descent","2397"," 88.6"
2018,"Statistical Area 2","338900","Geraldine","4","Don't know","69","  2.5"
2018,"Statistical Area 2","338900","Geraldine","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","338900","Geraldine","9","Not stated","0",".."
2018,"Statistical Area 2","338900","Geraldine","Total","Total","2706",".."
2018,"Statistical Area 2","338900","Geraldine","Total stated","Total stated","2706","100.0"
2018,"Statistical Area 2","339000","Rangitata","1","Maori descent","108","  6.5"
2018,"Statistical Area 2","339000","Rangitata","2","No Maori descent","1500"," 90.7"
2018,"Statistical Area 2","339000","Rangitata","4","Don't know","45","  2.7"
2018,"Statistical Area 2","339000","Rangitata","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339000","Rangitata","9","Not stated","0",".."
2018,"Statistical Area 2","339000","Rangitata","Total","Total","1653",".."
2018,"Statistical Area 2","339000","Rangitata","Total stated","Total stated","1653","100.0"
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","1","Maori descent","243"," 13.8"
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","2","No Maori descent","1464"," 83.1"
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","4","Don't know","57","  3.2"
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","9","Not stated","0",".."
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","Total","Total","1761",".."
2018,"Statistical Area 2","339100","Waitohi (Timaru District)","Total stated","Total stated","1761","100.0"
2018,"Statistical Area 2","339200","Pleasant Point","1","Maori descent","180"," 13.1"
2018,"Statistical Area 2","339200","Pleasant Point","2","No Maori descent","1155"," 84.2"
2018,"Statistical Area 2","339200","Pleasant Point","4","Don't know","39","  2.8"
2018,"Statistical Area 2","339200","Pleasant Point","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339200","Pleasant Point","9","Not stated","0",".."
2018,"Statistical Area 2","339200","Pleasant Point","Total","Total","1371",".."
2018,"Statistical Area 2","339200","Pleasant Point","Total stated","Total stated","1371","100.0"
2018,"Statistical Area 2","339300","Temuka West","1","Maori descent","291"," 13.5"
2018,"Statistical Area 2","339300","Temuka West","2","No Maori descent","1812"," 83.8"
2018,"Statistical Area 2","339300","Temuka West","4","Don't know","60","  2.8"
2018,"Statistical Area 2","339300","Temuka West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339300","Temuka West","9","Not stated","0",".."
2018,"Statistical Area 2","339300","Temuka West","Total","Total","2163",".."
2018,"Statistical Area 2","339300","Temuka West","Total stated","Total stated","2163","100.0"
2018,"Statistical Area 2","339400","Hadlow","1","Maori descent","96","  6.7"
2018,"Statistical Area 2","339400","Hadlow","2","No Maori descent","1302"," 90.8"
2018,"Statistical Area 2","339400","Hadlow","4","Don't know","39","  2.7"
2018,"Statistical Area 2","339400","Hadlow","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339400","Hadlow","9","Not stated","0",".."
2018,"Statistical Area 2","339400","Hadlow","Total","Total","1434",".."
2018,"Statistical Area 2","339400","Hadlow","Total stated","Total stated","1434","100.0"
2018,"Statistical Area 2","339500","Levels","1","Maori descent","138"," 11.4"
2018,"Statistical Area 2","339500","Levels","2","No Maori descent","1044"," 86.4"
2018,"Statistical Area 2","339500","Levels","4","Don't know","27","  2.2"
2018,"Statistical Area 2","339500","Levels","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339500","Levels","9","Not stated","0",".."
2018,"Statistical Area 2","339500","Levels","Total","Total","1209",".."
2018,"Statistical Area 2","339500","Levels","Total stated","Total stated","1209","100.0"
2018,"Statistical Area 2","339600","Temuka East","1","Maori descent","351"," 15.2"
2018,"Statistical Area 2","339600","Temuka East","2","No Maori descent","1902"," 82.4"
2018,"Statistical Area 2","339600","Temuka East","4","Don't know","57","  2.5"
2018,"Statistical Area 2","339600","Temuka East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339600","Temuka East","9","Not stated","0",".."
2018,"Statistical Area 2","339600","Temuka East","Total","Total","2307",".."
2018,"Statistical Area 2","339600","Temuka East","Total stated","Total stated","2307","100.0"
2018,"Statistical Area 2","339700","Gleniti North","1","Maori descent","75","  5.0"
2018,"Statistical Area 2","339700","Gleniti North","2","No Maori descent","1392"," 93.4"
2018,"Statistical Area 2","339700","Gleniti North","4","Don't know","21","  1.4"
2018,"Statistical Area 2","339700","Gleniti North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339700","Gleniti North","9","Not stated","0",".."
2018,"Statistical Area 2","339700","Gleniti North","Total","Total","1491",".."
2018,"Statistical Area 2","339700","Gleniti North","Total stated","Total stated","1491","100.0"
2018,"Statistical Area 2","339800","Washdyke","1","Maori descent","120"," 11.8"
2018,"Statistical Area 2","339800","Washdyke","2","No Maori descent","876"," 86.1"
2018,"Statistical Area 2","339800","Washdyke","4","Don't know","27","  2.7"
2018,"Statistical Area 2","339800","Washdyke","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339800","Washdyke","9","Not stated","0",".."
2018,"Statistical Area 2","339800","Washdyke","Total","Total","1017",".."
2018,"Statistical Area 2","339800","Washdyke","Total stated","Total stated","1017","100.0"
2018,"Statistical Area 2","339900","Fairview","1","Maori descent","189"," 11.5"
2018,"Statistical Area 2","339900","Fairview","2","No Maori descent","1386"," 84.5"
2018,"Statistical Area 2","339900","Fairview","4","Don't know","66","  4.0"
2018,"Statistical Area 2","339900","Fairview","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","339900","Fairview","9","Not stated","0",".."
2018,"Statistical Area 2","339900","Fairview","Total","Total","1641",".."
2018,"Statistical Area 2","339900","Fairview","Total stated","Total stated","1641","100.0"
2018,"Statistical Area 2","340000","Gleniti South","1","Maori descent","165","  6.8"
2018,"Statistical Area 2","340000","Gleniti South","2","No Maori descent","2220"," 91.2"
2018,"Statistical Area 2","340000","Gleniti South","4","Don't know","48","  2.0"
2018,"Statistical Area 2","340000","Gleniti South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340000","Gleniti South","9","Not stated","0",".."
2018,"Statistical Area 2","340000","Gleniti South","Total","Total","2433",".."
2018,"Statistical Area 2","340000","Gleniti South","Total stated","Total stated","2433","100.0"
2018,"Statistical Area 2","340100","Glenwood","1","Maori descent","225"," 12.6"
2018,"Statistical Area 2","340100","Glenwood","2","No Maori descent","1530"," 85.6"
2018,"Statistical Area 2","340100","Glenwood","4","Don't know","36","  2.0"
2018,"Statistical Area 2","340100","Glenwood","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340100","Glenwood","9","Not stated","0",".."
2018,"Statistical Area 2","340100","Glenwood","Total","Total","1788",".."
2018,"Statistical Area 2","340100","Glenwood","Total stated","Total stated","1788","100.0"
2018,"Statistical Area 2","340200","Marchwiel West","1","Maori descent","177"," 11.6"
2018,"Statistical Area 2","340200","Marchwiel West","2","No Maori descent","1302"," 85.3"
2018,"Statistical Area 2","340200","Marchwiel West","4","Don't know","51","  3.3"
2018,"Statistical Area 2","340200","Marchwiel West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340200","Marchwiel West","9","Not stated","0",".."
2018,"Statistical Area 2","340200","Marchwiel West","Total","Total","1527",".."
2018,"Statistical Area 2","340200","Marchwiel West","Total stated","Total stated","1527","100.0"
2018,"Statistical Area 2","340300","Marchwiel East","1","Maori descent","264"," 13.3"
2018,"Statistical Area 2","340300","Marchwiel East","2","No Maori descent","1629"," 82.3"
2018,"Statistical Area 2","340300","Marchwiel East","4","Don't know","87","  4.4"
2018,"Statistical Area 2","340300","Marchwiel East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340300","Marchwiel East","9","Not stated","0",".."
2018,"Statistical Area 2","340300","Marchwiel East","Total","Total","1980",".."
2018,"Statistical Area 2","340300","Marchwiel East","Total stated","Total stated","1980","100.0"
2018,"Statistical Area 2","340400","Highfield North","1","Maori descent","186","  7.9"
2018,"Statistical Area 2","340400","Highfield North","2","No Maori descent","2103"," 89.2"
2018,"Statistical Area 2","340400","Highfield North","4","Don't know","69","  2.9"
2018,"Statistical Area 2","340400","Highfield North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340400","Highfield North","9","Not stated","0",".."
2018,"Statistical Area 2","340400","Highfield North","Total","Total","2358",".."
2018,"Statistical Area 2","340400","Highfield North","Total stated","Total stated","2358","100.0"
2018,"Statistical Area 2","340500","Highfield South","1","Maori descent","126"," 10.1"
2018,"Statistical Area 2","340500","Highfield South","2","No Maori descent","1095"," 87.5"
2018,"Statistical Area 2","340500","Highfield South","4","Don't know","30","  2.4"
2018,"Statistical Area 2","340500","Highfield South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340500","Highfield South","9","Not stated","0",".."
2018,"Statistical Area 2","340500","Highfield South","Total","Total","1251",".."
2018,"Statistical Area 2","340500","Highfield South","Total stated","Total stated","1251","100.0"
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","1","Maori descent","225"," 11.0"
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","2","No Maori descent","1767"," 86.5"
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","4","Don't know","48","  2.3"
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","9","Not stated","0",".."
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","Total","Total","2043",".."
2018,"Statistical Area 2","340600","Waimataitai-Maori Hill","Total stated","Total stated","2043","100.0"
2018,"Statistical Area 2","340700","Fraser Park","1","Maori descent","330"," 12.0"
2018,"Statistical Area 2","340700","Fraser Park","2","No Maori descent","2328"," 84.6"
2018,"Statistical Area 2","340700","Fraser Park","4","Don't know","96","  3.5"
2018,"Statistical Area 2","340700","Fraser Park","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340700","Fraser Park","9","Not stated","0",".."
2018,"Statistical Area 2","340700","Fraser Park","Total","Total","2751",".."
2018,"Statistical Area 2","340700","Fraser Park","Total stated","Total stated","2751","100.0"
2018,"Statistical Area 2","340800","Seaview","1","Maori descent","285"," 13.6"
2018,"Statistical Area 2","340800","Seaview","2","No Maori descent","1728"," 82.8"
2018,"Statistical Area 2","340800","Seaview","4","Don't know","75","  3.6"
2018,"Statistical Area 2","340800","Seaview","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","340800","Seaview","9","Not stated","0",".."
2018,"Statistical Area 2","340800","Seaview","Total","Total","2088",".."
2018,"Statistical Area 2","340800","Seaview","Total stated","Total stated","2088","100.0"
2018,"Statistical Area 2","340900","Inlet Port Timaru","1","Maori descent","C","C"
2018,"Statistical Area 2","340900","Inlet Port Timaru","2","No Maori descent","C","C"
2018,"Statistical Area 2","340900","Inlet Port Timaru","4","Don't know","C","C"
2018,"Statistical Area 2","340900","Inlet Port Timaru","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","340900","Inlet Port Timaru","9","Not stated","C",".."
2018,"Statistical Area 2","340900","Inlet Port Timaru","Total","Total","0",".."
2018,"Statistical Area 2","340900","Inlet Port Timaru","Total stated","Total stated","C","C"
2018,"Statistical Area 2","341000","Watlington","1","Maori descent","279"," 12.4"
2018,"Statistical Area 2","341000","Watlington","2","No Maori descent","1896"," 84.2"
2018,"Statistical Area 2","341000","Watlington","4","Don't know","81","  3.6"
2018,"Statistical Area 2","341000","Watlington","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341000","Watlington","9","Not stated","0",".."
2018,"Statistical Area 2","341000","Watlington","Total","Total","2253",".."
2018,"Statistical Area 2","341000","Watlington","Total stated","Total stated","2253","100.0"
2018,"Statistical Area 2","341100","Timaru Central","1","Maori descent","63"," 15.6"
2018,"Statistical Area 2","341100","Timaru Central","2","No Maori descent","333"," 82.2"
2018,"Statistical Area 2","341100","Timaru Central","4","Don't know","12","  3.0"
2018,"Statistical Area 2","341100","Timaru Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341100","Timaru Central","9","Not stated","0",".."
2018,"Statistical Area 2","341100","Timaru Central","Total","Total","405",".."
2018,"Statistical Area 2","341100","Timaru Central","Total stated","Total stated","405","100.0"
2018,"Statistical Area 2","341200","Timaru East","1","Maori descent","39"," 14.3"
2018,"Statistical Area 2","341200","Timaru East","2","No Maori descent","219"," 80.2"
2018,"Statistical Area 2","341200","Timaru East","4","Don't know","12","  4.4"
2018,"Statistical Area 2","341200","Timaru East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341200","Timaru East","9","Not stated","0",".."
2018,"Statistical Area 2","341200","Timaru East","Total","Total","273",".."
2018,"Statistical Area 2","341200","Timaru East","Total stated","Total stated","273","100.0"
2018,"Statistical Area 2","341300","Parkside","1","Maori descent","336"," 14.1"
2018,"Statistical Area 2","341300","Parkside","2","No Maori descent","1947"," 81.9"
2018,"Statistical Area 2","341300","Parkside","4","Don't know","90","  3.8"
2018,"Statistical Area 2","341300","Parkside","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341300","Parkside","9","Not stated","0",".."
2018,"Statistical Area 2","341300","Parkside","Total","Total","2376",".."
2018,"Statistical Area 2","341300","Parkside","Total stated","Total stated","2376","100.0"
2018,"Statistical Area 2","341400","Kensington (Timaru District)","1","Maori descent","210"," 14.3"
2018,"Statistical Area 2","341400","Kensington (Timaru District)","2","No Maori descent","1194"," 81.6"
2018,"Statistical Area 2","341400","Kensington (Timaru District)","4","Don't know","60","  4.1"
2018,"Statistical Area 2","341400","Kensington (Timaru District)","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341400","Kensington (Timaru District)","9","Not stated","0",".."
2018,"Statistical Area 2","341400","Kensington (Timaru District)","Total","Total","1464",".."
2018,"Statistical Area 2","341400","Kensington (Timaru District)","Total stated","Total stated","1464","100.0"
2018,"Statistical Area 2","341500","Mackenzie Lakes","1","Maori descent","66","  5.6"
2018,"Statistical Area 2","341500","Mackenzie Lakes","2","No Maori descent","1086"," 91.9"
2018,"Statistical Area 2","341500","Mackenzie Lakes","4","Don't know","27","  2.3"
2018,"Statistical Area 2","341500","Mackenzie Lakes","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341500","Mackenzie Lakes","9","Not stated","0",".."
2018,"Statistical Area 2","341500","Mackenzie Lakes","Total","Total","1182",".."
2018,"Statistical Area 2","341500","Mackenzie Lakes","Total stated","Total stated","1182","100.0"
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","1","Maori descent","C","C"
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","2","No Maori descent","C","C"
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","4","Don't know","C","C"
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","9","Not stated","C",".."
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","Total","Total","0",".."
2018,"Statistical Area 2","341600","Inland water Lake Pukaki","Total stated","Total stated","C","C"
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","1","Maori descent","C","C"
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","2","No Maori descent","C","C"
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","4","Don't know","C","C"
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","9","Not stated","C",".."
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","Total","Total","0",".."
2018,"Statistical Area 2","341700","Inland water Lake Tekapo","Total stated","Total stated","C","C"
2018,"Statistical Area 2","341800","Twizel","1","Maori descent","153"," 10.5"
2018,"Statistical Area 2","341800","Twizel","2","No Maori descent","1272"," 87.4"
2018,"Statistical Area 2","341800","Twizel","4","Don't know","30","  2.1"
2018,"Statistical Area 2","341800","Twizel","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341800","Twizel","9","Not stated","0",".."
2018,"Statistical Area 2","341800","Twizel","Total","Total","1455",".."
2018,"Statistical Area 2","341800","Twizel","Total stated","Total stated","1455","100.0"
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","1","Maori descent","108","  8.0"
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","2","No Maori descent","1203"," 89.3"
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","4","Don't know","39","  2.9"
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","9","Not stated","0",".."
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","Total","Total","1347",".."
2018,"Statistical Area 2","341900","Opua (Mackenzie District)","Total stated","Total stated","1347","100.0"
2018,"Statistical Area 2","342000","Fairlie","1","Maori descent","78","  8.8"
2018,"Statistical Area 2","342000","Fairlie","2","No Maori descent","786"," 88.8"
2018,"Statistical Area 2","342000","Fairlie","4","Don't know","18","  2.0"
2018,"Statistical Area 2","342000","Fairlie","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342000","Fairlie","9","Not stated","0",".."
2018,"Statistical Area 2","342000","Fairlie","Total","Total","885",".."
2018,"Statistical Area 2","342000","Fairlie","Total stated","Total stated","885","100.0"
2018,"Statistical Area 2","342100","Hakataramea","1","Maori descent","48","  5.8"
2018,"Statistical Area 2","342100","Hakataramea","2","No Maori descent","759"," 91.3"
2018,"Statistical Area 2","342100","Hakataramea","4","Don't know","24","  2.9"
2018,"Statistical Area 2","342100","Hakataramea","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342100","Hakataramea","9","Not stated","0",".."
2018,"Statistical Area 2","342100","Hakataramea","Total","Total","831",".."
2018,"Statistical Area 2","342100","Hakataramea","Total stated","Total stated","831","100.0"
2018,"Statistical Area 2","342200","Maungati","1","Maori descent","54","  7.3"
2018,"Statistical Area 2","342200","Maungati","2","No Maori descent","660"," 89.4"
2018,"Statistical Area 2","342200","Maungati","4","Don't know","21","  2.8"
2018,"Statistical Area 2","342200","Maungati","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342200","Maungati","9","Not stated","0",".."
2018,"Statistical Area 2","342200","Maungati","Total","Total","738",".."
2018,"Statistical Area 2","342200","Maungati","Total stated","Total stated","738","100.0"
2018,"Statistical Area 2","342300","Lyalldale","1","Maori descent","90"," 13.1"
2018,"Statistical Area 2","342300","Lyalldale","2","No Maori descent","576"," 83.8"
2018,"Statistical Area 2","342300","Lyalldale","4","Don't know","21","  3.1"
2018,"Statistical Area 2","342300","Lyalldale","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342300","Lyalldale","9","Not stated","0",".."
2018,"Statistical Area 2","342300","Lyalldale","Total","Total","687",".."
2018,"Statistical Area 2","342300","Lyalldale","Total stated","Total stated","687","100.0"
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","1","Maori descent","90","  8.9"
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","2","No Maori descent","891"," 88.4"
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","4","Don't know","27","  2.7"
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","9","Not stated","0",".."
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","Total","Total","1008",".."
2018,"Statistical Area 2","342400","Makikihi-Willowbridge","Total stated","Total stated","1008","100.0"
2018,"Statistical Area 2","342500","Waimate North","1","Maori descent","30","  5.9"
2018,"Statistical Area 2","342500","Waimate North","2","No Maori descent","465"," 91.7"
2018,"Statistical Area 2","342500","Waimate North","4","Don't know","12","  2.4"
2018,"Statistical Area 2","342500","Waimate North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342500","Waimate North","9","Not stated","0",".."
2018,"Statistical Area 2","342500","Waimate North","Total","Total","507",".."
2018,"Statistical Area 2","342500","Waimate North","Total stated","Total stated","507","100.0"
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","1","Maori descent","108","  9.9"
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","2","No Maori descent","963"," 87.9"
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","4","Don't know","24","  2.2"
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","9","Not stated","0",".."
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","Total","Total","1095",".."
2018,"Statistical Area 2","342600","Morven-Glenavy-Ikawai","Total stated","Total stated","1095","100.0"
2018,"Statistical Area 2","342700","Waimate West","1","Maori descent","138"," 10.3"
2018,"Statistical Area 2","342700","Waimate West","2","No Maori descent","1155"," 86.5"
2018,"Statistical Area 2","342700","Waimate West","4","Don't know","42","  3.1"
2018,"Statistical Area 2","342700","Waimate West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342700","Waimate West","9","Not stated","0",".."
2018,"Statistical Area 2","342700","Waimate West","Total","Total","1335",".."
2018,"Statistical Area 2","342700","Waimate West","Total stated","Total stated","1335","100.0"
2018,"Statistical Area 2","342800","Waimate East","1","Maori descent","135","  8.4"
2018,"Statistical Area 2","342800","Waimate East","2","No Maori descent","1401"," 86.8"
2018,"Statistical Area 2","342800","Waimate East","4","Don't know","75","  4.6"
2018,"Statistical Area 2","342800","Waimate East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","342800","Waimate East","9","Not stated","0",".."
2018,"Statistical Area 2","342800","Waimate East","Total","Total","1614",".."
2018,"Statistical Area 2","342800","Waimate East","Total stated","Total stated","1614","100.0"
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","1","Maori descent","C","C"
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","2","No Maori descent","C","C"
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","4","Don't know","C","C"
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","9","Not stated","C",".."
2018,"Statistical Area 2","342900","Oceanic Chatham Islands","Total","Total","0",".."
